ADCP_Location,Lsmaj,Lsmaj_ci,Lsmin,Lsmin_ci,bottomFriction,frq,g,g_ci,lat,lind,lon,name,reftime,theta,theta_ci,umean,vmean
GP3,0.49015108421140924,0.008945495204770473,-0.0520367737339838,0.003976671639439693,wesley,0.08051140067059574,327.76068305761726,1.058366056884184,44.2606,47.0,-66.3421,M2  ,735092.5,93.58535596320115,0.48354838151229573,0.05675301479358235,0.022936901608353176
GP3,0.05734943518061687,0.01215496097306546,-0.002895548915469035,0.010371987774583393,wesley,0.08333333333333333,261.2008233208107,12.271431574635045,44.2606,56.0,-66.3421,S2  ,735092.5,148.08375414824908,10.335455247604598,0.05675301479358235,0.022936901608353176
GP3,0.10468501497556693,0.010193784572245792,0.018465667649654807,0.014259434293969595,wesley,0.08356149244306686,345.2790891815328,5.944946419832257,44.2606,58.0,-66.3421,K2  ,735092.5,113.8558381306789,8.096356154237485,0.05675301479358235,0.022936901608353176
GP4,0.0023514446731074555,0.002282832969212612,0.0005002369594432358,0.006466150554088427,wesley,0.037218502479765964,302.60940544849376,67.95098794586511,44.2605,10.0,-66.3354,Q1  ,735092.5,96.21855439768855,165.70781668735683,0.06857114873376415,0.11205868571483929
GP4,0.02187065289579801,0.0029317750766143474,-0.0003953303629456225,0.006120095476257398,wesley,0.03873065444906231,69.60869019286997,7.650796317253004,44.2605,12.0,-66.3354,O1  ,735092.5,108.75561275849395,16.116333752300623,0.06857114873376415,0.11205868571483929
GP4,0.010644944869176417,0.018290959439911002,0.006121618944669444,0.0075170019487785745,wesley,0.04155258711179991,217.67603856461324,151.15111585197266,44.2605,18.0,-66.3354,P1  ,735092.5,21.60314962002566,103.93560930184451,0.06857114873376415,0.11205868571483929
GP4,0.03182725060452575,0.002744142132740553,-0.005415636494243106,0.02074269118270305,wesley,0.04178074622153343,104.99935733421596,8.28955047574846,44.2605,20.0,-66.3354,K1  ,735092.5,94.60720789991267,38.4782823530795,0.06857114873376415,0.11205868571483929
GP4,0.2979943725851365,0.04186221429062752,0.03262702759154046,0.015080868962678138,wesley,0.07899924870129939,294.4277773316965,8.15182705070935,44.2605,41.0,-66.3354,N2  ,735092.5,108.54812988469926,3.067824122682643,0.06857114873376415,0.11205868571483929
GP4,2.455950910061222,0.0412809228436107,-0.006220887455483659,0.016649225522994138,wesley,0.08051140067059574,331.80261796388106,0.9625820328431185,44.2605,47.0,-66.3354,M2  ,735092.5,110.8648716517408,0.38862268249584253,0.06857114873376415,0.11205868571483929
GP4,0.10753009607095482,0.04302876529858918,-0.0017570630525458042,0.021896809815270493,wesley,0.08333333333333333,253.52068498023664,23.075880114550987,44.2605,56.0,-66.3354,S2  ,735092.5,76.65234548012259,11.60562821443891,0.06857114873376415,0.11205868571483929
